2023-11-11 13:23:43.227469: E tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:9342] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2023-11-11 13:23:43.227517: E tensorflow/compiler/xla/stream_executor/cuda/cuda_fft.cc:609] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2023-11-11 13:23:43.227545: E tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:1518] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2023-11-11 13:23:44.418766: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Downloading builder script: 100% 3.82k/3.82k [00:00<00:00, 23.4MB/s]
Downloading metadata: 100% 1.90k/1.90k [00:00<00:00, 11.2MB/s]
Downloading readme: 100% 14.1k/14.1k [00:00<00:00, 41.9MB/s]
Downloading: 100% 1.93k/1.93k [00:00<00:00, 11.6MB/s]
Downloading: 100% 1.26M/1.26M [00:00<00:00, 2.90MB/s]
Downloading: 100% 65.9M/65.9M [00:02<00:00, 30.7MB/s]
Downloading: 100% 1.26M/1.26M [00:00<00:00, 3.00MB/s]
Downloading (…)lve/main/config.json: 100% 665/665 [00:00<00:00, 2.69MB/s]
Downloading pytorch_model.bin: 100% 54.2M/54.2M [00:00<00:00, 193MB/s]
Some weights of ElectraForSequenceClassification were not initialized from the model checkpoint at google/electra-small-discriminator and are newly initialized: ['classifier.dense.weight', 'classifier.out_proj.bias', 'classifier.dense.bias', 'classifier.out_proj.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Downloading (…)okenizer_config.json: 100% 29.0/29.0 [00:00<00:00, 141kB/s]
Downloading (…)solve/main/vocab.txt: 100% 232k/232k [00:00<00:00, 1.38MB/s]
Downloading (…)/main/tokenizer.json: 100% 466k/466k [00:00<00:00, 1.86MB/s]
Preprocessing data... (this takes a little bit, should only happen once per dataset)
Filter: 100% 10000/10000 [00:00<00:00, 117963.66 examples/s]
Filter: 100% 550152/550152 [00:01<00:00, 280684.57 examples/s]
Filter: 100% 10000/10000 [00:00<00:00, 264955.84 examples/s]
Map (num_proc=2): 100% 549367/549367 [00:45<00:00, 12106.80 examples/s]
{'loss': 0.4774, 'learning_rate': 4.223349982768078e-05, 'epoch': 0.47}
{'loss': 0.4724, 'learning_rate': 4.211214826248829e-05, 'epoch': 0.47}
{'loss': 0.4608, 'learning_rate': 4.1990796697295805e-05, 'epoch': 0.48}
{'loss': 0.458, 'learning_rate': 4.186944513210331e-05, 'epoch': 0.49}
{'loss': 0.4861, 'learning_rate': 4.1748093566910825e-05, 'epoch': 0.5}
{'loss': 0.4697, 'learning_rate': 4.162674200171834e-05, 'epoch': 0.5}
{'loss': 0.4586, 'learning_rate': 4.150539043652585e-05, 'epoch': 0.51}
{'loss': 0.4678, 'learning_rate': 4.1384038871333367e-05, 'epoch': 0.52}
{'loss': 0.4853, 'learning_rate': 4.126268730614088e-05, 'epoch': 0.52}
{'loss': 0.4518, 'learning_rate': 4.114133574094839e-05, 'epoch': 0.53}
{'loss': 0.4671, 'learning_rate': 4.10199841757559e-05, 'epoch': 0.54}
{'loss': 0.4771, 'learning_rate': 4.0898632610563415e-05, 'epoch': 0.55}
{'loss': 0.4736, 'learning_rate': 4.077728104537092e-05, 'epoch': 0.55}
{'loss': 0.4556, 'learning_rate': 4.065592948017844e-05, 'epoch': 0.56}
{'loss': 0.4718, 'learning_rate': 4.053457791498595e-05, 'epoch': 0.57}
{'loss': 0.4619, 'learning_rate': 4.041322634979346e-05, 'epoch': 0.58}
{'loss': 0.4772, 'learning_rate': 4.0291874784600976e-05, 'epoch': 0.58}
{'loss': 0.4571, 'learning_rate': 4.017052321940848e-05, 'epoch': 0.59}
{'loss': 0.4553, 'learning_rate': 4.0049171654216e-05, 'epoch': 0.6}
{'loss': 0.4432, 'learning_rate': 3.992782008902351e-05, 'epoch': 0.6}
{'loss': 0.4481, 'learning_rate': 3.980646852383102e-05, 'epoch': 0.61}
{'loss': 0.4636, 'learning_rate': 3.968511695863854e-05, 'epoch': 0.62}
{'loss': 0.4432, 'learning_rate': 3.9563765393446045e-05, 'epoch': 0.63}
{'loss': 0.4628, 'learning_rate': 3.944241382825356e-05, 'epoch': 0.63}
{'loss': 0.4536, 'learning_rate': 3.932106226306107e-05, 'epoch': 0.64}
{'loss': 0.4575, 'learning_rate': 3.9199710697868586e-05, 'epoch': 0.65}
{'loss': 0.4456, 'learning_rate': 3.907835913267609e-05, 'epoch': 0.66}
{'loss': 0.4501, 'learning_rate': 3.8957007567483607e-05, 'epoch': 0.66}
{'loss': 0.4633, 'learning_rate': 3.883565600229112e-05, 'epoch': 0.67}
{'loss': 0.4601, 'learning_rate': 3.8714304437098634e-05, 'epoch': 0.68}
{'loss': 0.4512, 'learning_rate': 3.859295287190615e-05, 'epoch': 0.68}
{'loss': 0.4585, 'learning_rate': 3.8471601306713655e-05, 'epoch': 0.69}
{'loss': 0.4519, 'learning_rate': 3.835024974152117e-05, 'epoch': 0.7}
{'loss': 0.4456, 'learning_rate': 3.822889817632868e-05, 'epoch': 0.71}
{'loss': 0.4468, 'learning_rate': 3.810754661113619e-05, 'epoch': 0.71}
{'loss': 0.4285, 'learning_rate': 3.798619504594371e-05, 'epoch': 0.72}
{'loss': 0.4609, 'learning_rate': 3.7864843480751216e-05, 'epoch': 0.73}
{'loss': 0.4541, 'learning_rate': 3.774349191555872e-05, 'epoch': 0.74}
{'loss': 0.4466, 'learning_rate': 3.7622140350366244e-05, 'epoch': 0.74}
{'loss': 0.4634, 'learning_rate': 3.750078878517375e-05, 'epoch': 0.75}
{'loss': 0.4394, 'learning_rate': 3.7379437219981264e-05, 'epoch': 0.76}
{'loss': 0.4521, 'learning_rate': 3.725808565478878e-05, 'epoch': 0.76}
{'loss': 0.477, 'learning_rate': 3.7136734089596285e-05, 'epoch': 0.77}
{'loss': 0.4802, 'learning_rate': 3.7015382524403805e-05, 'epoch': 0.78}
{'loss': 0.4365, 'learning_rate': 3.689403095921131e-05, 'epoch': 0.79}
{'loss': 0.4452, 'learning_rate': 3.6772679394018826e-05, 'epoch': 0.79}
{'loss': 0.4711, 'learning_rate': 3.665132782882634e-05, 'epoch': 0.8}
{'loss': 0.4531, 'learning_rate': 3.6529976263633853e-05, 'epoch': 0.81}
{'loss': 0.4559, 'learning_rate': 3.640862469844136e-05, 'epoch': 0.82}
{'loss': 0.449, 'learning_rate': 3.6287273133248874e-05, 'epoch': 0.82}
{'loss': 0.4252, 'learning_rate': 3.616592156805639e-05, 'epoch': 0.83}
{'loss': 0.4362, 'learning_rate': 3.6044570002863895e-05, 'epoch': 0.84}
{'loss': 0.4337, 'learning_rate': 3.5923218437671415e-05, 'epoch': 0.84}
{'loss': 0.441, 'learning_rate': 3.580186687247892e-05, 'epoch': 0.85}
{'loss': 0.4351, 'learning_rate': 3.5680515307286436e-05, 'epoch': 0.86}
{'loss': 0.4426, 'learning_rate': 3.555916374209395e-05, 'epoch': 0.87}
{'loss': 0.4638, 'learning_rate': 3.5437812176901456e-05, 'epoch': 0.87}
{'loss': 0.4492, 'learning_rate': 3.531646061170898e-05, 'epoch': 0.88}
{'loss': 0.4363, 'learning_rate': 3.5195109046516484e-05, 'epoch': 0.89}
{'loss': 0.4327, 'learning_rate': 3.507375748132399e-05, 'epoch': 0.9}
{'loss': 0.4223, 'learning_rate': 3.495240591613151e-05, 'epoch': 0.9}
{'loss': 0.4362, 'learning_rate': 3.483105435093902e-05, 'epoch': 0.91}
{'loss': 0.4157, 'learning_rate': 3.470970278574653e-05, 'epoch': 0.92}
{'loss': 0.4573, 'learning_rate': 3.4588351220554045e-05, 'epoch': 0.92}
{'loss': 0.4277, 'learning_rate': 3.446699965536155e-05, 'epoch': 0.93}
{'loss': 0.429, 'learning_rate': 3.4345648090169066e-05, 'epoch': 0.94}
{'loss': 0.4285, 'learning_rate': 3.422429652497658e-05, 'epoch': 0.95}
{'loss': 0.4248, 'learning_rate': 3.4102944959784094e-05, 'epoch': 0.95}
{'loss': 0.4275, 'learning_rate': 3.398159339459161e-05, 'epoch': 0.96}
{'loss': 0.4497, 'learning_rate': 3.386024182939912e-05, 'epoch': 0.97}
{'loss': 0.4332, 'learning_rate': 3.373889026420663e-05, 'epoch': 0.98}
{'loss': 0.445, 'learning_rate': 3.361753869901414e-05, 'epoch': 0.98}
{'loss': 0.4508, 'learning_rate': 3.3496187133821655e-05, 'epoch': 0.99}
{'loss': 0.4233, 'learning_rate': 3.337483556862916e-05, 'epoch': 1.0}
{'loss': 0.4223, 'learning_rate': 3.325348400343668e-05, 'epoch': 1.0}
{'loss': 0.4016, 'learning_rate': 3.313213243824419e-05, 'epoch': 1.01}
{'loss': 0.4136, 'learning_rate': 3.30107808730517e-05, 'epoch': 1.02}
{'loss': 0.4026, 'learning_rate': 3.288942930785922e-05, 'epoch': 1.03}
{'loss': 0.4039, 'learning_rate': 3.2768077742666724e-05, 'epoch': 1.03}
{'loss': 0.411, 'learning_rate': 3.264672617747424e-05, 'epoch': 1.04}
{'loss': 0.3983, 'learning_rate': 3.252537461228175e-05, 'epoch': 1.05}
{'loss': 0.4188, 'learning_rate': 3.240402304708926e-05, 'epoch': 1.06}
{'loss': 0.42, 'learning_rate': 3.228267148189678e-05, 'epoch': 1.06}
{'loss': 0.422, 'learning_rate': 3.2161319916704286e-05, 'epoch': 1.07}
{'loss': 0.4001, 'learning_rate': 3.20399683515118e-05, 'epoch': 1.08}
{'loss': 0.4085, 'learning_rate': 3.191861678631931e-05, 'epoch': 1.08}
{'loss': 0.4118, 'learning_rate': 3.179726522112683e-05, 'epoch': 1.09}
{'loss': 0.4118, 'learning_rate': 3.1675913655934334e-05, 'epoch': 1.1}
{'loss': 0.4025, 'learning_rate': 3.155456209074185e-05, 'epoch': 1.11}
{'loss': 0.3963, 'learning_rate': 3.143321052554936e-05, 'epoch': 1.11}
{'loss': 0.4097, 'learning_rate': 3.131185896035687e-05, 'epoch': 1.12}
{'loss': 0.3988, 'learning_rate': 3.119050739516439e-05, 'epoch': 1.13}
{'loss': 0.4166, 'learning_rate': 3.1069155829971895e-05, 'epoch': 1.14}
{'loss': 0.4081, 'learning_rate': 3.094780426477941e-05, 'epoch': 1.14}
{'loss': 0.4145, 'learning_rate': 3.082645269958692e-05, 'epoch': 1.15}
{'loss': 0.4084, 'learning_rate': 3.070510113439443e-05, 'epoch': 1.16}
{'loss': 0.4104, 'learning_rate': 3.058374956920195e-05, 'epoch': 1.16}
{'loss': 0.4047, 'learning_rate': 3.0462398004009457e-05, 'epoch': 1.17}
{'loss': 0.4019, 'learning_rate': 3.0341046438816967e-05, 'epoch': 1.18}
{'loss': 0.404, 'learning_rate': 3.021969487362448e-05, 'epoch': 1.19}
{'loss': 0.4063, 'learning_rate': 3.009834330843199e-05, 'epoch': 1.19}
{'loss': 0.4142, 'learning_rate': 2.997699174323951e-05, 'epoch': 1.2}
{'loss': 0.3956, 'learning_rate': 2.985564017804702e-05, 'epoch': 1.21}
{'loss': 0.4114, 'learning_rate': 2.9734288612854526e-05, 'epoch': 1.22}
{'loss': 0.4116, 'learning_rate': 2.9612937047662043e-05, 'epoch': 1.22}
{'loss': 0.3874, 'learning_rate': 2.9491585482469553e-05, 'epoch': 1.23}
{'loss': 0.3929, 'learning_rate': 2.9370233917277067e-05, 'epoch': 1.24}
{'loss': 0.4165, 'learning_rate': 2.9248882352084577e-05, 'epoch': 1.25}
{'loss': 0.4031, 'learning_rate': 2.9127530786892094e-05, 'epoch': 1.25}
{'loss': 0.4286, 'learning_rate': 2.9006179221699604e-05, 'epoch': 1.26}
{'loss': 0.3955, 'learning_rate': 2.888482765650711e-05, 'epoch': 1.27}
{'loss': 0.4042, 'learning_rate': 2.876347609131463e-05, 'epoch': 1.27}
{'loss': 0.3896, 'learning_rate': 2.864212452612214e-05, 'epoch': 1.28}
{'loss': 0.411, 'learning_rate': 2.8520772960929652e-05, 'epoch': 1.29}
{'loss': 0.4127, 'learning_rate': 2.8399421395737163e-05, 'epoch': 1.3}
{'loss': 0.3872, 'learning_rate': 2.8278069830544673e-05, 'epoch': 1.3}
{'loss': 0.4082, 'learning_rate': 2.815671826535219e-05, 'epoch': 1.31}
{'loss': 0.4208, 'learning_rate': 2.8035366700159697e-05, 'epoch': 1.32}
{'loss': 0.4185, 'learning_rate': 2.7914015134967214e-05, 'epoch': 1.33}
{'loss': 0.4305, 'learning_rate': 2.7792663569774724e-05, 'epoch': 1.33}
{'loss': 0.3995, 'learning_rate': 2.7671312004582235e-05, 'epoch': 1.34}
{'loss': 0.4108, 'learning_rate': 2.754996043938975e-05, 'epoch': 1.35}
{'loss': 0.3947, 'learning_rate': 2.742860887419726e-05, 'epoch': 1.35}
{'loss': 0.4137, 'learning_rate': 2.7307257309004776e-05, 'epoch': 1.36}
{'loss': 0.4043, 'learning_rate': 2.7185905743812283e-05, 'epoch': 1.37}
{'loss': 0.3946, 'learning_rate': 2.70645541786198e-05, 'epoch': 1.38}
{'loss': 0.3974, 'learning_rate': 2.694320261342731e-05, 'epoch': 1.38}
{'loss': 0.3941, 'learning_rate': 2.682185104823482e-05, 'epoch': 1.39}
{'loss': 0.4186, 'learning_rate': 2.6700499483042334e-05, 'epoch': 1.4}
{'loss': 0.3912, 'learning_rate': 2.6579147917849845e-05, 'epoch': 1.41}
{'loss': 0.4182, 'learning_rate': 2.645779635265736e-05, 'epoch': 1.41}
{'loss': 0.4101, 'learning_rate': 2.633644478746487e-05, 'epoch': 1.42}
{'loss': 0.3951, 'learning_rate': 2.621509322227238e-05, 'epoch': 1.43}
{'loss': 0.4078, 'learning_rate': 2.6093741657079896e-05, 'epoch': 1.43}
{'loss': 0.3935, 'learning_rate': 2.5972390091887406e-05, 'epoch': 1.44}
{'loss': 0.4221, 'learning_rate': 2.585103852669492e-05, 'epoch': 1.45}
{'loss': 0.3798, 'learning_rate': 2.572968696150243e-05, 'epoch': 1.46}
{'loss': 0.4012, 'learning_rate': 2.560833539630994e-05, 'epoch': 1.46}
{'loss': 0.4257, 'learning_rate': 2.5486983831117454e-05, 'epoch': 1.47}
{'loss': 0.3717, 'learning_rate': 2.5365632265924965e-05, 'epoch': 1.48}
{'loss': 0.4172, 'learning_rate': 2.524428070073248e-05, 'epoch': 1.49}
{'loss': 0.4044, 'learning_rate': 2.5122929135539992e-05, 'epoch': 1.49}
{'loss': 0.406, 'learning_rate': 2.5001577570347502e-05, 'epoch': 1.5}
{'loss': 0.4146, 'learning_rate': 2.4880226005155016e-05, 'epoch': 1.51}
{'loss': 0.3809, 'learning_rate': 2.475887443996253e-05, 'epoch': 1.51}
{'loss': 0.4298, 'learning_rate': 2.463752287477004e-05, 'epoch': 1.52}
{'loss': 0.3997, 'learning_rate': 2.451617130957755e-05, 'epoch': 1.53}
{'loss': 0.3886, 'learning_rate': 2.4394819744385064e-05, 'epoch': 1.54}
{'loss': 0.3819, 'learning_rate': 2.4273468179192578e-05, 'epoch': 1.54}
{'loss': 0.3869, 'learning_rate': 2.4152116614000088e-05, 'epoch': 1.55}
{'loss': 0.3999, 'learning_rate': 2.40307650488076e-05, 'epoch': 1.56}
{'loss': 0.398, 'learning_rate': 2.3909413483615112e-05, 'epoch': 1.57}
{'loss': 0.3868, 'learning_rate': 2.3788061918422626e-05, 'epoch': 1.57}
{'loss': 0.3945, 'learning_rate': 2.3666710353230136e-05, 'epoch': 1.58}
{'loss': 0.398, 'learning_rate': 2.354535878803765e-05, 'epoch': 1.59}
{'loss': 0.3914, 'learning_rate': 2.3424007222845163e-05, 'epoch': 1.59}
{'loss': 0.3752, 'learning_rate': 2.3302655657652674e-05, 'epoch': 1.6}
{'loss': 0.3981, 'learning_rate': 2.3181304092460184e-05, 'epoch': 1.61}
{'loss': 0.3971, 'learning_rate': 2.3059952527267698e-05, 'epoch': 1.62}
{'loss': 0.3905, 'learning_rate': 2.293860096207521e-05, 'epoch': 1.62}
{'loss': 0.3739, 'learning_rate': 2.2817249396882722e-05, 'epoch': 1.63}
{'loss': 0.4163, 'learning_rate': 2.2695897831690235e-05, 'epoch': 1.64}
{'loss': 0.3874, 'learning_rate': 2.2574546266497746e-05, 'epoch': 1.65}
{'loss': 0.3771, 'learning_rate': 2.245319470130526e-05, 'epoch': 1.65}
{'loss': 0.3908, 'learning_rate': 2.233184313611277e-05, 'epoch': 1.66}
{'loss': 0.3819, 'learning_rate': 2.2210491570920283e-05, 'epoch': 1.67}
{'loss': 0.3891, 'learning_rate': 2.2089140005727797e-05, 'epoch': 1.67}
{'loss': 0.396, 'learning_rate': 2.1967788440535304e-05, 'epoch': 1.68}
{'loss': 0.388, 'learning_rate': 2.1846436875342818e-05, 'epoch': 1.69}
{'loss': 0.3936, 'learning_rate': 2.172508531015033e-05, 'epoch': 1.7}
{'loss': 0.3943, 'learning_rate': 2.1603733744957845e-05, 'epoch': 1.7}
{'loss': 0.4017, 'learning_rate': 2.1482382179765355e-05, 'epoch': 1.71}
{'loss': 0.4037, 'learning_rate': 2.136103061457287e-05, 'epoch': 1.72}
{'loss': 0.3986, 'learning_rate': 2.123967904938038e-05, 'epoch': 1.73}
{'loss': 0.3736, 'learning_rate': 2.111832748418789e-05, 'epoch': 1.73}
{'loss': 0.4191, 'learning_rate': 2.0996975918995403e-05, 'epoch': 1.74}
{'loss': 0.3643, 'learning_rate': 2.0875624353802917e-05, 'epoch': 1.75}
{'loss': 0.3571, 'learning_rate': 2.075427278861043e-05, 'epoch': 1.75}
{'loss': 0.3737, 'learning_rate': 2.063292122341794e-05, 'epoch': 1.76}
{'loss': 0.4013, 'learning_rate': 2.051156965822545e-05, 'epoch': 1.77}
{'loss': 0.3985, 'learning_rate': 2.0390218093032965e-05, 'epoch': 1.78}
{'loss': 0.4005, 'learning_rate': 2.0268866527840475e-05, 'epoch': 1.78}
{'loss': 0.3966, 'learning_rate': 2.014751496264799e-05, 'epoch': 1.79}
{'loss': 0.4012, 'learning_rate': 2.0026163397455503e-05, 'epoch': 1.8}
{'loss': 0.3612, 'learning_rate': 1.9904811832263013e-05, 'epoch': 1.81}
{'loss': 0.3915, 'learning_rate': 1.9783460267070523e-05, 'epoch': 1.81}
{'loss': 0.3884, 'learning_rate': 1.9662108701878037e-05, 'epoch': 1.82}
{'loss': 0.4042, 'learning_rate': 1.954075713668555e-05, 'epoch': 1.83}
{'loss': 0.4042, 'learning_rate': 1.941940557149306e-05, 'epoch': 1.83}
{'loss': 0.3717, 'learning_rate': 1.9298054006300575e-05, 'epoch': 1.84}
{'loss': 0.4021, 'learning_rate': 1.9176702441108085e-05, 'epoch': 1.85}
{'loss': 0.3875, 'learning_rate': 1.90553508759156e-05, 'epoch': 1.86}
{'loss': 0.3706, 'learning_rate': 1.893399931072311e-05, 'epoch': 1.86}
{'loss': 0.4009, 'learning_rate': 1.8812647745530623e-05, 'epoch': 1.87}
{'loss': 0.3821, 'learning_rate': 1.8691296180338137e-05, 'epoch': 1.88}
{'loss': 0.3867, 'learning_rate': 1.8569944615145647e-05, 'epoch': 1.89}
{'loss': 0.3916, 'learning_rate': 1.8448593049953157e-05, 'epoch': 1.89}
{'loss': 0.3764, 'learning_rate': 1.832724148476067e-05, 'epoch': 1.9}
{'loss': 0.3801, 'learning_rate': 1.8205889919568185e-05, 'epoch': 1.91}
{'loss': 0.3995, 'learning_rate': 1.8084538354375695e-05, 'epoch': 1.91}
{'loss': 0.3931, 'learning_rate': 1.796318678918321e-05, 'epoch': 1.92}
{'loss': 0.3668, 'learning_rate': 1.784183522399072e-05, 'epoch': 1.93}
{'loss': 0.3784, 'learning_rate': 1.7720483658798233e-05, 'epoch': 1.94}
{'loss': 0.3937, 'learning_rate': 1.7599132093605743e-05, 'epoch': 1.94}
